ID,Name of the organisation,DESCRIPTION,KEYWORDS,ADDRESS,EIRCODE,ONLINE ONLY SERVICE,WEBSITE,EMAIL,TELEPHONE,CATEGORIES,SUPPORT,latitude,longitude,DropIn_Info,,,,,,,,,,,,
172,_ONLINE - Institute of Antiracism and Black studies ,"The Institute of Antiracism and Black Studies (IABS) offers antiracism training and Black Studies education to individuals and organisations. IABS works to tackle anti-Black racism, promote inclusion, and centre lived experiences to build more equitable workplaces, schools, and communities across Ireland. We raise awareness, training, support and provide advice.","Antiracism, personal development, advice, microaggression, inclusion, managing difference, living in Ireland, developing social capital, new friends, career advise ",None,None,Yes,www.iabs.ie,iabsireland@gmail.com,+353 1 5030764,Information & Advice;Employment & Training;Education;Wellbeing & Mental Health;Community & Family;Youth Services;Public Awareness & Activism;Culture & the Arts;Personal development and self advocacy d;,Education,53.633,-8.24,N/A,,,,,,,,,,,,
226,_ONLINE - LAIT Mayo,"We provide support and Information to people who are newly arrived in Mayo, especially to those who are seeking or have been granted protection by the state. ","Help on getting services in Ireland, help with forms, providing information, finding work,  finding English classes, information on asylum system, finding out whats on in the local area, social supports",None,None,Yes,www.mayo.ie,Integration@mayococo.ie,None,"Information & Advice, Also social supports",Information & Advice,54.015,-9.429,N/A,,,,,,,,,,,,
227,_ONLINE - LGBT Ireland (Cork),LGBT Ireland provides supports services for members of the LGBTQ+ community including IPAs and refugees.,"LGBT, Queer, Rainbow",None,None,Yes,www.lgbt.ie,lgbtasylumsupport@lgbt.ie,01 6859280,"Information & Advice, Wellbeing & Mental Health, Community & Family, Public Awareness & Activsm",Community & Family,51.899,-8.476,N/A,,,,,,,,,,,,
228,_ONLINE - LGBT Ireland (Dublin),LGBT Ireland provides supports services for members of the LGBTQ+ community including IPAs and refugees.,"LGBT, Queer, Rainbow",None,None,Yes,www.lgbt.ie,lgbtasylumsupport@lgbt.ie,01 6859280,"Information & Advice, Wellbeing & Mental Health, Community & Family, Public Awareness & Activsm",Community & Family,53.35,-6.26,N/A,,,,,,,,,,,,
229,_ONLINE - LGBT Ireland (Dundalk),LGBT Ireland provides supports services for members of the LGBTQ+ community including IPAs and refugees.,"LGBT, Queer, Rainbow",None,None,Yes,www.lgbt.ie,lgbtasylumsupport@lgbt.ie,01 6859280,"Information & Advice, Wellbeing & Mental Health, Community & Family, Public Awareness & Activsm",Community & Family,54.002,-6.388,N/A,,,,,,,,,,,,
230,_ONLINE - LGBT Ireland (Galway),LGBT Ireland provides supports services for members of the LGBTQ+ community including IPAs and refugees.,"LGBT, Queer, Rainbow",None,None,Yes,www.lgbt.ie,lgbtasylumsupport@lgbt.ie,01 6859280,"Information & Advice, Wellbeing & Mental Health, Community & Family, Public Awareness & Activsm",Community & Family,53.274,-9.051,N/A,,,,,,,,,,,,
231,_ONLINE - LGBT Ireland (Kilkenny),LGBT Ireland provides supports services for members of the LGBTQ+ community including IPAs and refugees.,"LGBT, Queer, Rainbow",None,None,Yes,www.lgbt.ie,lgbtasylumsupport@lgbt.ie,01 6859280,"Information & Advice, Wellbeing & Mental Health, Community & Family, Public Awareness & Activsm",Community & Family,52.655,-7.246,N/A,,,,,,,,,,,,
232,_ONLINE - LGBT Ireland (Outwest),LGBT Ireland provides supports services for members of the LGBTQ+ community including IPAs and refugees.,"LGBT, Queer, Rainbow",None,None,Yes,www.lgbt.ie,lgbtasylumsupport@lgbt.ie,01 6859280,"Information & Advice, Wellbeing & Mental Health, Community & Family, Public Awareness & Activsm",Community & Family,54.654,-8.11,N/A,,,,,,,,,,,,
9,_ONLINE - Mauritian Network Ireland ,Help with immigration issues ,Mauritian ,None ,None ,Yes,Mauritian Network ,Mauritiannetwork@gmail.com,N/A,Information & Advice;Immigration issues ;,Information & Advice,53.633,-8.24,N/A,,,,,,,,,,,,
77,_ONLINE - Mayo LAIT - Local Authority Integration Team ,"We provide support and Information to people who are newly arrived in Mayo, especially to those who are seeking or have been granted protection by the state. ","Help on getting services in Ireland, help with forms, providing information, finding work,  finding English classes, information on asylum system, finding out whats on in the local area, social supports",None,None,Yes,www.mayo.ie,Integration@mayococo.ie,None,"Information & Advice, Also social supports",Information & Advice,53.854,-9.299,N/A,,,,,,,,,,,,
195,_ONLINE - Migraine Ireland,Informational advocacy support for people living with headache conditions.,"Information, Signposting, Support, Resources, Advocacy",NONE,NONE,Yes,www.migraine.ie,info@migraine.ie,01 906 1012,Public Awareness & Activism;Information and Support ;,Chronic Illness and Disability  Support ,53.633,-8.24,N/A,,,,,,,,,,,,
234,_ONLINE - Purp Unicorn,"Our organisation supports displaced migrants intergrations by up-skilling or re-skilling in Emerging Technologies and supports them landing their first job or paid internship within the Tech Industry. We run  different programmes per year in Tech Support, Cyber Security, Data Analytics, Web Development, AI & Machine Learning.","Finding work, up-skill, courses, tech jobs",None,None,Yes,www.purplunicorn.com,hello@purpunicorn.com,0838451975,"Information & Advice, Employment & Training",Employment & Training,52.446,-9.485,N/A,,,,,,,,,,,,
97,_ONLINE - Rock of Fire Centre,Migrant Support Services ,"Migrant support, settlement support, advice line, pastoral support, ","15C High Street, Antrim, ",BT41 4AX ,Yes,www.rockoffire.com,greetings@rockoffire.com,07886346851,Information & Advice;Community & Family;Culture & the Arts;Wellbeing & Mental Health;Employment & Training;,Multiple services,54.714,-6.219,N/A,,,,,,,,,,,,
235,_ONLINE - SaorEd,"SaorEd is a free online education platform for migrants, refugees, and international protection applicants in Ireland over 18 years old. Learners can access courses for English Language learning, IT skills, employment skills and workshops, and much more. The courses are compatible with mobile phones and low bandwidth. ","English classes, education, courses, language, IT, computer skills, job skills, CV, employment skills, free education, free courses, online education",None,None,Yes,www.saored.com,info@saored.com,0833015756,Education,Education,52.664,-8.627,N/A,,,,,,,,,,,,
201,_ONLINE - Schools of Sanctuary,"Schools of Sanctuary supports schools through a framework called Learn/Action/Share, to strengthen their identity as a place of welcome and inclusion in their community, becoming a beacon of sanctuary for those who are vulnerable to marginalisation or isolation","Schools, Welcome, Incusion, Sanctuary",None,None,Yes,www.sosi.ie,info@sosi.ie,N/A,Education;,Education,53.633,-8.24,N/A,,,,,,,,,,,,
236,_ONLINE - Serve the City - Cairdeas Programme,"Cairdeas is a training, mentoring and integration programme available to international protection applicants in counties across Ireland. The over-arching aim of the programme is to promote social inclusion and cultural integration through training workshops, volunteering projects, mentoring and cultural tours.","Volunteering in Ireland, one-to-one mentoring online, cultural tours, intercultural events,  workshops, training ",None,None,No,www.servethecity.ie/volunteer/cairdeas,cairdeas@servethecity.ie,None,"Wellbeing & Mental Health, Mentoring, volunteering, cultural tours, soft skills training workshops",Multiple Services,53.35,-6.26,N/A,,,,,,,,,,,,
237,_ONLINE - The Open Community ,"The Open Community is the national support organisation for Ireland’s Community Sponsorship Programme for Refugees. The Open Community provide access to a wide range of supports and resources, as well as a national peer support network for Community Sponsorship Groups.","Community Sponsorship, ",None,D2,Yes,www.theopencommunity.ie,info@theopencommunity.ie,None,"Information & Advice, Legal Advice, Training",Multiple Services,53.35,-6.26,N/A,,,,,,,,,,,,
238,_ONLINE - The Open Doors Initiative,"The Open Doors Initiative has a dedicated programme to support migrants, refugees, and asylum seekers in accessing employment, further education, and self-employment. We are a group of over 120 member companies and non-profit partners, that work together to support individuals facing additional barriers to employment. ","Finding work, Business English classes, Job, Entrerpeneurship, Further Education, Mentorship",None,None,Yes,https://www.pathwaystoprogress.ie/,info@pathwaystoprogress.ie,None,"Information & Advice, Employment & Training, Education",Employment & Training,53.35,-6.26,N/A,,,,,,,,,,,,
173,_ONLINE - The Unforgettable Womens Network ,"Empowering ethnic minority women & youths in Ireland Driving equity, inclusion, antiracism, leadership & active citizenship. We believes every woman is important and that the deposits into one woman's life can transform our society into a better place.","Finding work, antiracism support and Advice, Personal development, career advice, CV preparations, Motivation, Befriending group Book and video club, Writing Group. mentoring, Youth empowerment ",None,None,Yes,www.tuwn.ie,tuwnireland@gmail.com,35315030764,Information & Advice;Employment & Training;Education;Wellbeing & Mental Health;Community & Family;Youth Services;Public Awareness & Activism;Culture & the Arts;,Community & Family,53.633,-8.24,N/A,,,,,,,,,,,,
239,_ONLINE - TSLI: Training & Services Leading to Inclusion,"Employment preparation courses including CV Development, Online Profiles, Job Applications and Interview Practice. Includes interaction with employers and recruiters to develop job opportunities.",None,None,None,Yes,https://scoopfoundation.org/campaign/scoop-recruit/,info@createsound.ie,086 1296995,"Employment & Training, Education",Employment & Training,53.341,-6.284,N/A,,,,,,,,,,,,
187,_ONLINE - Turn2Me,"Turn2Me is a national online mental health charity offering free, confidential support through one-to-one counselling, support groups, and 24/7 peer-to-peer services. Our mission is to provide accessible mental health support to adults and young people across Ireland.","free counselling, support groups, mental health support",None,None,Yes,turn2me.ie,info@turn2me.org,N/A,Wellbeing & Mental Health;Information & Advice;,Wellbeing & Mental Health,53.633,-8.24,N/A,,,,,,,,,,,,
240,_ONLINE - United for Changes,"UNITED FOR CHANGES initiative is aimed at helping Ireland integrate temporary displaced Ukrainians into Irish society, with a particular focus on community development and enhancing professional growth. Please follow our page for more details and updates on upcoming webinars, events and activities.","Finding work, opening business, informational webinars",None,None,Yes,https://www.youtube.com/@unitedforchanges3876,debate4changes@gmail.com,None,"Information & Advice, Employment & Training",Employment & Training,53.35,-6.26,N/A,,,,,,,,,,,,
247,_ONLINE - Wizards of Ireland,"Integration assistance for migrants and refugees in Co.Laois. Workshops, activism, hiking and other interest groups, mental support, informational meetings and volunteer support.","work shops, help and motivation, volunteers support",Portarlington,R32W99E,Yes,https://www.facebook.com/wizardsireland,wizardsireland@gmail.com,3.53834E+11,Wellbeing & Mental Health,Public Awareness & Activism,53.132,-7.149,N/A,,,,,,,,,,,,
196,_ONLINE - Women's Aid,The Women's Aid National Freephone Helpline supports women subjected to domestic violence and abuse. We provide support in 240 languages.,"Domestic abuse, Domestic Violence, Coercive Control, Intimate partner abuse.",None - this is a national phone service so not based at a physical location.,None,Yes,www.womensaid.ie,info@womensaid.ie,1800 341 900,Domestic Abuse;,Information & Advice,53.633,-8.24,N/A,,,,,,,,,,,,
206,_ONLINE/PHONE - Victim Support at Court,We provide support to victims and prosecution witnesses of all crimes during their time in court. ,"Criminal Court Support, Victim support, prosecution witness support",Nation wide,Nation wide,No,https://www.vsac.ie/,info@vsac.ie,01 8726785,Information & Advice;Wellbeing & Mental Health;Community & Family;Public Awareness & Activism;,Court Support,53.932,-7.317,N/A,,,,,,,,,,,,
186,Antrim - A Safe Space to be Me,"Maintaining and managing centres in the areas of benefit for activities promoted by the company. By providing counselling and psychotherapy, family support, community development programmes and education to those who require them By providing a free counselling services, advice and assistance to relieve poverty and financial hardship. By educating and training persons in counselling so that they may provide therapy and assist individuals experiencing mental and emotional distress.","Mental Health Support, Food Provision, Isolation, Community","Crumlin Community Hub, 28 Mill Road, Crumlin, Co. Antrim BT29 4XL",BT29 4XL,No,www.asafespacetobeme.co.uk,info@asafespacetobeme.co.uk,+442896 208284,"Information & Advice;Wellbeing & Mental Health;Community & Family;Emergency & Homelessness Support (e.g. food, shelter, day services);Food Provision;",Multiple services,54.622,-6.219,"Monday, Tuesday, Wednesday, Thursday, Friday: 9am - 4pm",,,,,,,,,,,,
78,Antrim - Ark Housing Association,"Ark Housing Association provides general needs homes and supported and sheltered accommodation at locations across Northern Ireland. We deliver a wide range of specialist homes and services to meet the needs of families, older persons, and single person households, including floating support for homeless families.","Housing, Homeless, Hostels, Support, At risk of homelessness, Family, Single adults, Sheltered housing, dementia care, temporary accommodation, residential care, older persons, North of Ireland, NI, Northern Ireland, Ireland","Unit 1, Hawthorn Office Park, 43 Stockmans Way, Belfast ",BT9 7ET,No,www.arkhousing.co.uk,info@arkhousing.co.uk,00 44 +28 9075 2310,Housing support;Community & Family;Information & Advice;,Housing support,54.57,-5.985,N/A,,,,,,,,,,,,
45,Antrim - Atlas Womens Centre,"Adult Training Learning And Support - offering a wide variety of programmes to improve confidence, skills, health and wellbeing.  Classes include Beginners ESOL.","Women's English classes, accredited classes, mental health classes and creche available for children 0 - 4 yrs while parent is attending classes",Atlas Centre 7 Bachelors Walk Lisburn ,BT28 1XJ,No,www.atlaswomenscentre.co.uk,info@atlaswomenscentre.co.uk,07514670609,Education;Language Support;Wellbeing & Mental Health;Community & Family;,Community & Family,54.514,-6.047,"Tuesday, Wednesday: 10am to 12pm",,,,,,,,,,,,
85,Antrim - Belfast Unemployed Resource Centre,"Welfare advice, Access NI, free ESOL classes, training and personal development","Welfare advice, English classes, ESOL, help with forms, Access NI, employment, benefits, training","4-6 Donegall Street Place, BT1 2FN, Belfast",BT1 2FN,No,https://www.burc.org/,info@burc.org,(028) 90961111,Information & Advice;Employment & Training;Language Support;Housing support;Community & Family;,Multiple services,54.602,-5.928,N/A,,,,,,,,,,,,
248,Antrim - Belfast Unemployed Resource Centre,"Free English language classes, welfare advice and employability supports. ","English Language, welfare  advice, skills training","4-6 Donegall Street Place, Belfast",BT6 8NX,No,www.burc.org,esol@burc.org,+4428 9096 1111,"Information & Advice, Employment & Training, Education, Language Support, Wellbeing & Mental Health",Multiple Services,54.585,-5.901,N/A,,,,,,,,,,,,
249,Antrim - Building Communities Resource Centre,"BCRC builds communities under the themes of Community Development; Good Relations and Ethnic Communities.  Ethnic Communities project provides support to those from different ethnic backgrounds and focuses on raising awareness of various cultures.  We provide ESOL classes, well-being projects, support for victims of domestic violence and much more.","support for ethnic communities, ESOL classes, well-being projects, support for domestic violence victims, Crisis fund support, bi-lingual support, drop in service, outreach support for refugees and asylum seekers, development support for BAME communities, anti - hate crime, cultural ambassadors, shared education, Diversity Equity Inclusion training, Creative cultures, Homeland traditions and international Cafe ","22/23 Acorn Business Centre, Riada Avenue, Ballymoney BT53 7LH, Co Antrim",BT53 7LH,No,https://www.theresourcecentre.org/,gosia@theresourcecentre.org,07922020044,"Health Services, Information & Advice, Employment & Training, Education, Language Support, Housing Support, Wellbeing & Mental Health, Community & Family, Youth Services, Public Awareness & Activsm",Multiple Services,55.066,-6.496,"Monday, Tuesday, Wednesday, Thursday, Friday: 9am - 5pm ",,,,,,,,,,,,
7,Antrim - Cliftonville Community Centre ,Centre Manager ,"All inclusive.
Everyone Welcome 
Family Support-Carers/Parents and Toddlers 
Youth Provision
One to One Mentoring Service for children and young people in North Belfast 
Afterschool Project 'loose play' curriculum 
Healthy Living Projects 
Sports 
Good Relations 
Personal Development 
Educational 
On the job training 
Volunteer with us ",60-64  Manor Street Belfast ,BT14 6EA,No,under construction ,BT14 6EA,Gráinne Magee ,Wellbeing & Mental Health;Community & Family;Youth Services;Culture & the Arts;Language Support;,Community & Family,54.614,-5.946,"Parents/Carers & Toddlers - Tuesday,Thursday: 10am-12pm; Afterschool Service - Daily: 3-5pm;  
Youth Project - Monday, Tuesday, Wednesday, Thursday: 6-9pm, Friday: 6-10.30pm; Art Therapy - Wednesday: 12-1.30pm 
Womens Group Friday 10-12
Mindfulness & Meditation 3-5pm Saturday 
Community Bingo 7-8pm Sunday ",,,,,,,,,,,,
250,Antrim - Conway Education Centre,"basic adult education, including English language courses and homework club for refugees and asylum-seeking families. Empowering communities through learning","English classes, homework support and study skills,, education (progression) advice, meeting people, ","5/7 Conway Street, Belfast BT13 2DE",BT13 2DE,No,www.conwayeducation.org,info@conwayeducation.org,02890 248543,"Education, Language Support, Wellbeing & Mental Health, Community & Family, Signposting to relevant organisation",Education,54.6,-5.951,"Drop-In English conversation for ladies on Friday mornings, 10am -11.30am",,,,,,,,,,,,
114,Antrim - Counselling All Nations Services (CANS),Counselling All Nations Services (CANS) provides culturally sensitive professional counselling (in English or a common minority ethnic language) to adult people living and working in Northern Ireland who are experiencing excessive stress and/or mental ill health and whose first language is not English.,"CANS, Minority Ethnic, BAME, Migrant Student, Migrant Workers, Culturally Sensitive Counselling ","1st Floor, Olive Tree House. 23/29 Fountain Street. BELFAST. BT1 5EP",BT1 5EP,No,https://counsellingallnations.org,cansinfo@counsellingallnations.org,+44 (0) 759 613 9247,Wellbeing & Mental Health;,Wellbeing & Mental Health,54.584,-5.923,N/A,,,,,,,,,,,,
114,Antrim - Counselling All Nations Services (CANS),Counselling All Nations Services (CANS) provides culturally sensitive professional counselling (in English or a common minority ethnic language) to adult people living and working in Northern Ireland who are experiencing excessive stress and/or mental ill health and whose first language is not English.,"CANS, Minority Ethnic, BAME, Migrant Student, Migrant Workers, Culturally Sensitive Counselling ","McSweeney Building, 29 Henry Place. Belfast. BT15 2AY",BT15 2AY,No,https://counsellingallnations.org,cansinfo@counsellingallnations.org,+44 (0) 759 613 9247,Wellbeing & Mental Health;,Wellbeing & Mental Health,54.60775237,-5.934198393,N/A,,,,,,,,,,,,
251,Antrim - Diverse Youth NI,"Diverse Youth NI is a reputable non-profit organization dedicated to empowering young people and fostering positive change in society. We believe in the power of youth-driven initiatives to address pressing issues, and we are committed to making a difference in the mental health landscape in Belfast.","Youth work, Social Action, Activism","275A Antrim Road, Belfast",BT15 2GZ,No,www.diverseyouthni.com,info@diverseyouthni.com,02890138615,"Education, Youth Services, Public Awareness & Activsm",Youth Services,54.617,-5.938,"Monday, Tuesday: 9.30am - 2.30pm; Friday: 3pm - 8.30pm",,,,,,,,,,,,
145,Antrim - DU Dance (NI),"We are a professional dance company that offers fun dance workshops and performance opportunities to people with little or no experience. Through dance we aim to build community connections and foster tolerance and respect. Projects include inter-cultural, cross-community and  inter-generational work.  ","Fun, physical, friendly, make friends, open to all, no commitment, try it out, no experience necessary, accessible.","Crescent Arts Centre, 2-4 University Road, Belfast ",BT7 1NH,No,www.dudanceni.com,info@dudanceni.com,02890230877,Wellbeing & Mental Health;Youth Services;Culture & the Arts;,Culture & the Arts,54.587,-5.938,"Wednesday: Ballycastle 4pm - 5.30pm; Dungannon, 6pm - 8.30pm",,,,,,,,,,,,
145,Antrim - DU Dance (NI),"We are a professional dance company that offers fun dance workshops and performance opportunities to people with little or no experience. Through dance we aim to build community connections and foster tolerance and respect. Projects include inter-cultural, cross-community and  inter-generational work.  ","Fun, physical, friendly, make friends, open to all, no commitment, try it out, no experience necessary, accessible.",Sheskburn Centre Ballycastle - BT54 6QH,BT54 6QH,No,www.dudanceni.com,info@dudanceni.com,02890230877,Wellbeing & Mental Health;Youth Services;Culture & the Arts;,Culture & the Arts,55.2032412,-6.236931313,Wednesday: Ballycastle 4pm - 5.30pm,,,,,,,,,,,,
,Antrim - East Belfast Mission,"East Belfast Mission offers services supporting our community through projects such as our Hosford Homelessness services, Employability project which helps people back to work, Irish Language project to connect a divided community and our thriving church community which offers community groups, counselling and pastoral care to those who need it.","housing advice, finding work, counselling, mental health and wellbeing support, volunteering opportunities, community groups, food bank, homeless hostel, housing, training, English classes, youth groups, homework club, church","239 Newtownards Rd, Belfast ",BT4 1AF,No,https://ebm.org.uk/,info@ebm.org.uk,028 9045 8560,Employment & Training;Housing support;Wellbeing & Mental Health;Community & Family;Homelessness services;,Multiple services,54.59867051,-5.899370974,N/A,,,,,,,,,,,,
252,Antrim - Education Authority,"Public body providing Asylum Seekers and Refugees with advice and information around accessing school places and educational supports including free school meals, uniforms and school transport applications.","finding school places, securing education support.","40 Academy Street, Belfast, BT1 2NQ",BT1 2NQ,No,www.eani.org.uk,ies@eani.org.uk,None,"Information & Advice, Education, Language Support, Community & Family, Youth Services",Education,54.604,-5.927,N/A,,,,,,,,,,,,
253,Antrim - EmbraceNI,"EmbraceNI is a group of Christians working together to promote positive responses to people seeking asylum, refugees, migrant workers and people from minority ethnic backgrounds. Embrace seeks to equip the church to fulfil its call to welcome our new neighbours, by providing information, training, materials and channels for practical help.","Welcome, signposting, training","48 Elmwood Avenue, Belfast",BT9 6AZ,No,www.embraceni.org,info@embraceni.org,02890663145,Public Awareness & Activsm,Public Awareness & Activism,54.585,-5.94,N/A,,,,,,,,,,,,
18,Antrim - Falls Women's Centre,"The centre provides a safe, welcoming, comfortable, women-only environment, supporting women to recognise and develop their talents and skills, and become active in realising their full potential. ",None,"245-258 Falls Road, Belfast, BT12 6AL",BT12 6AL,No,www.fallswomenscentre.org,info@fallswomenscentre.org,02890327672,Information & Advice;Education;Language Support;Housing support;Wellbeing & Mental Health;Community & Family;Public Awareness & Activism;Culture & the Arts;,Multiple services,54.592,-5.965,N/A,,,,,,,,,,,,
116,Antrim - Family Comfort NI ,"We provide Family support, Youth club and social engagement ","Family support, Youth club, English classes , transfer test support, drop in","237a, Falls Road BT12 6FB", BT12 6FB,No,www.familycomfortni.org,Familycomfortni@gmail.com,07586638164,Community & Family;Youth Services;Wellbeing & Mental Health;,Multiple services,54.592,-5.962,Friday: 10am-12.30pm,,,,,,,,,,,,
254,Antrim - Flourish NI,"Flourish NI provides long-term, trauma informed, tailored support to adult survivors of human trafficking and their immediate family living in Northern Ireland. Support includes one-to-one case work support, drop in advice clinic, therapies, group activities and courses. ","Case Work Support, Human Trafficking","Flourish NI, City East Business Centre, 68-72 Newtownards Road, Belfast, BT4 1GW",BT4 1GW,No,https://flourishni.org/,info@flourishni.org,02890 098828,"Information & Advice, Employment & Training, Education, Housing Support, Wellbeing & Mental Health, Community & Family",Multiple Services,54.601,-5.909,N/A,,,,,,,,,,,,
