ID,Name of the organisation,DESCRIPTION,KEYWORDS,ADDRESS,EIRCODE,ONLINE ONLY SERVICE,WEBSITE,EMAIL,TELEPHONE,CATEGORIES,SUPPORT,latitude,longitude,DropIn_Info,
21,GLENSHANE COMMUNITY DEVELOPMENT LIMITED,"Glenshane Community Development is a charity based in the North-West that revitalises local spaces, supports community wellbeing and supports enterprise. It offers migrant integration, helping newcomers access services and social connections - alongside business development, environmental & cross community/good relations initiatives, all aimed at strengthening our inclusive, resilient community.","Community Support, Advice Service, Workspace, Business Advice, Migrant Support, Educational Classes, Enterprise Hub, Wellbeing Services, Environmental Projects, Social inclusion.","Glenshane House, 112-114 Main Street, Dungiven ",BT47 4LG,No,https://www.facebook.com/GlenshaneCommunityDevelopmentLimited,mary.brolly@btconnect.com,+44 (0) 28 777 42494,Information & Advice;Employment & Training;Education;Wellbeing & Mental Health;Community & Family;Public Awareness & Activism;Culture & the Arts;Environment;Economic Development;,Multiple services,54.927,-6.927,N/A,
22,Donegal Sexual Abuse & Rape Crisis Centre,We provide FREE counselling & advocacy support services to anyone affected by sexual violence and their supporters in a safe and confidential environment. We provide services to the north west of Ireland to anyone who is 12 + years of age,"Individual Counselling, Outreach Counselling Services, Helpline Support, Support through criminal proceedings, Training, Advocacy, Court Accompaniment, Garda Accompaniment, SATU Accompaniment and support, SATU Volunteer training, Multi agency partnership, Supporter Assistance, SATU Volunteer Training.","2A, Grand Central, Canal Road, Letterkenny, Co. Donegal F92PN40",F92PN40,No,https://donegalrapecrisis.ie/index.html,info@donegalrapecrisis.ie,0749128211,Health Services;Information & Advice;Education;Wellbeing & Mental Health;Community & Family;Youth Services;,Wellbeing & Mental Health,54.950,-7.742,N/A,
23,Cáirdeas Kilmovee Family Resource Centre,"Cáirdeas Kilmovee Family Resource Centre, in partnership with other organisations, will support and empower local people to respond to the key issues and needs of the area, combat disadvantage and improve the functioning of the family.   AIMS The work of the Family Resource Centre is designed to meet the needs of the local community and include the following:  · Maintain Cáirdeas, Kilmovee Family Resource Centre as a family and community resource  · Support children and young people to take part in a range of social, physical and learning opportunities  · That families will benefit from appropriate family supports and services provided within the community  · Support and encourage volunteers working within voluntary community groups to carry out their work  · Support older people to live safely within the community for as long as possible","Family Support 
Community Development
","Kilmovee, Ballaghaderreen, Co.Mayo",F45 AX67,No,https://kilmovee.ie/frc/,frc@kilmovee.ie,0949649814,Information & Advice;Community & Family;,Community & Family,53.889,-8.708,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, Monday - Friday 9:30 - 17:00",
24,West Cork Development Partnership,Social Inclusion and community integration,"Integration, Language, Employment, Training and Information","Credit Union Building, Kent Street, Clonakilty",P85CD93,No,www.wcdp.ie,donna@wcdp.ie,0871963460,Information & Advice;Employment & Training;Language Support;Wellbeing & Mental Health;Culture & the Arts;Public Awareness & Activism;,Multiple services,51.622,-8.911,N/A,
25,Inner City Enterprise ,"Inner City Enterprise helps unemployed, young, and social entrepreneurs to succeed through business advice,  supports and training and networking opportunities.","Employment and Training, Social Enterprises, Mentoring, Entrepreneurs","49/50, Coleraine St, Smithfield, Dublin 7",D07 XW62,No,https://innercityenterprise.com/,info@innercityenterprise.com, (01) 906 1503,Employment & Training;,Employment & Training,53.352,-6.293,N/A,
26,South Leinster Citizens Information Carlow area,"We provide information, assistance with forms and advocacy to appeal decisions. Service users need to be able to communicate in English, or they can bring someone with them to translate.","Information, Welfare services, Advice, Advocacy","43 Tullow Street, Carlow",R93 WK8V,No,www.citizensinformation.ie,carlow@citinfo.ie,0818 07 5130,Information & Advice;,Information & Advice,52.836,-6.949,"Available: Monday;Tuesday;Wednesday;, Monday and Tuesday 10am to 12.30pm and 2pm to 4.30pm
Wednesday 10am to 12.30pm",
27,Leitrim Volunteer Centre,To promote the value of volunteering and civic responsibility and to increase the range and quality of volunteering; and to increase Access to Volunteering by offering a Support Service to the Public and Volunteering Involving Organisations (VIOs); and to carry on these charitable purposes for the benefit of the inhabitants of County Leitrim and its environs”.,"Volunteering, Community Development.","Units 3&4 Dublin Road, Carrick-on-Shannon, Co. Leitrim.  ",N41 Y7H1,No,https://volunteerleitrim.ie/,niamh@volunteerleitrim.ie,0719622537,Volunteering Opportunities;,Multiple services,53.947,-8.111,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 10 to 4pm",
29,Minority Ethnic Support Armagh,"Minority Ethnic Support Armagh (MESA) empowers and supports ethnic-minority, migrant, asylum-seeking, Roma, and Traveller families in Armagh. They offer holistic, family‑centred services—legal aid, health, education, parenting, anti‑racism training, English classes, youth clubs, befriending, and cultural events advocating for rights, inclusion, and integration into society ","Immigration
English Classes
Child and Family Support",16 Russell Street Armagh ,BT61 9AA,No,www.mesarmagh.com,funding@mesarmagh.com,02837537595,Community & Family;Wellbeing & Mental Health;Language Support;Education;Information & Advice;Employment & Training;Legal Advice;,Information & Advice,54.350,-6.655,"Available: Monday;Tuesday;Thursday;, 11am-3pm",
30,South West Kerry Family Resource Centre,"South West Kerry Family Resource Centre is based in Cahersiveen town and offers family support services, low cost counselling, play therapy, adolescent therapeutic services, children's literacy programmes. We have a family support worker dedicated to the IPAS and refugee community.","Family support, counselling, play therapy, literacy for children, adolescent therapeutic services, Autism support group, parenting support, food share, children's anxiety programmes.","18 Main Street, Cahersiveen, Co. Kerry",V23 A393,No,southwestkerryfrc.ie,swkerryfrc20@gmail.com,066 9481000,Information & Advice;Language Support;Wellbeing & Mental Health;Community & Family;Youth Services;,Community & Family,51.946,-10.247,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 9am - 5pm Mon - Thurs
9am - 3pm Friday",
31,Dublin Rape Crisis Centre,"Dublin Rape Crisis Centre provides support to adult victims and survivors, of all genders, who have experienced any form of sexual violence, recent or past. We provide therapy & counselling, support at court & in reporting, & free 24-hr Helpline support at 1800778888, with interpreting support as needed","support after sexual violence, rape crisis counselling, rape crisis therapy, help with reporting to gardai, accompaniment in court, support at SATU","70 Lower Leeson Street, Dublin 2",D02VW13,No,www.drcc.ie,counselling@rcc.ie,1800778888,Information & Advice;Wellbeing & Mental Health;Rape Crisis Support;,Wellbeing & Mental Health,53.334,-6.275,N/A,
32,Mayo Rape Crisis Centre,"Mayo Rape Crisis Centre provides a free, safe and confidential spacef0r anyone who has experienced any form of sexual violence at any time in their lives. ",Counselling,Castlebar Mayo,Only given when appointment is made,No,mrcc.ie,mayorapecrisiscentre@gmail.com,1800 234 900,Wellbeing & Mental Health;,Wellbeing & Mental Health,53.854,-9.340,"Available: Tuesday;, 10am to 1pm",
33,Baldoyle Family Resource Service CLG,"Baldoyle Family Resource Services CLG. serves the communities of Baldoyle and surrounding areas.   The aim of the organisation is to empower local people in the building of a viable and supportive community; to enable families to develop their own talents by education and training; to support communities through services which enhance the local development and well-being of the community and to work with local community groups and other agencies on issues and projects of common interest.  Baldoyle Family Resource Services CLG is funded by TUSLA , Dublin North East Drugs Task Force and supported by various funding streams in Fingal County Council and other small grant schemes.  The Board of Management is made up of residents from the local community who provide leadership, support and guidance to the work of the centre and the staff team.","Affordable Counselling Service, Community Cooking Club, Adult Ed Classes ","Baldoyle Family Resource Service CLG, Grange Road, Baldoyle, Dublin 13",D13 TE80,No,www.bfrs.ie,reception@bfrs.ie,018326115,Community & Family;Education;Information & Advice;Wellbeing & Mental Health;,Multiple services,53.397,-6.157,N/A,
34,Galway Roscommon Education and Training Board,GRETBs Further Education and Training Service provides courses from level 1 to 6 on the National Framework of Qualifications.  We also provide and Information and Guidance Service for people who would like to return to education.  ,"English classes, Further Education courses, Training courses, Educational Information and Guidance ",None,none,No,www.gretb.ie,guidance@gretb.ie,1800 140 242,Education;,Education,53.295,-9.052,"Available: Friday;Thursday;Wednesday;Tuesday;Monday;, Our centres are open throughout the week for people to drop in and find out more about the courses we offer.",
35,Generation Ireland,"Generation Ireland is a non-profit organisation supporting people into life-changing careers through free, job specific, online bootcamps and connection to hiring employers.","Finding work, upskilling, IT, technology, training, employment, careers, jobs, free, without degree, no degree, no experience, older people, parents, carers",None,None,Yes,ireland.generation.org,uki-admissions@generation.org,N/A,Employment & Training;Education;,Employment & Training,53.633,-8.240,N/A,
36,Local Authority Integration Team (LAIT). Sligo County Council,"The Local Authority Team provides support and information to IPAS residents, those with Refugee status and BOTP's to assist them with integration into our communities.","Help with finding English language classes, employment and volunteering opportunities","Sligo County Council County Hall, Riverside, Sligo",F91 Y763,No,https://www.sligococo.ie/,integration@sligococo.ie,0876059191 or 0870330871,Information & Advice;,Information & Advice,54.271,-8.483,N/A,
37,Amal Women Ireland,"A Muslim women-led organization providing essential support to Muslim women and those connected to the Muslim community across Ireland, addressing barriers to accessing vital services in times of crisis.","Domestic violence, women support, court support, English classes, coffee morning, translation, help with forms, art activity, community development, anti racism.","Dublin: 163 South Circular Road, Dublin 8, Co. Dublin      Waterford: 1 Viewmount Park, Farranshoneen, Waterford, X91 PNR4",D08 F642,No,www.amalwomenirl.com,help@amalwomenirl.com,Arabic:  +353 899 4626 89          +353 874 677 638 English / Urdu / Hindi:  +353 89 981 8044          +353 89 978 4017,"Information & Advice;Language Support;Wellbeing & Mental Health;Community & Family;Youth Services;Legal Advice;Public Awareness & Activism;Culture & the Arts;Court accompaniment, career guidance clinic;Employment & Training;",Multiple services,53.331,-6.302,"Available: Monday;Tuesday;Wednesday;Thursday;, 10:00 am to 2:30 pm",
38,Haven,"A place of welcome and safety for international newcomers to Sligo. Conversational English, arts, crafts and much more!  Everyone welcome! ","Conversational English, arts, crafts, help with forms, integration, community, friendship, advice, support","Sligo Presbyterian Church Hall, Church Street, Sligo, F91 EY8K ",F91 EY8K ,No,sligopresbyterianchurch,sligopresbyterianchurch@gmail.com ,N/A,Language Support;Community & Family;Culture & the Arts;,Multiple services,54.270,-8.496,N/A,
39,Sligo Presbyterian Church,Sligo Presbyterian Church welcomes people of all nationalities to worship on a Sunday and to take part in all our activities/events. We currently have almost 30 nationalities represented in our church family. ,"Christian, church, faith, religion, community","Sligo Presbyterian Church, Church Street, Sligo",F91 A312,No,Sligopresbyterianchurch,Sligopresbyterianchurch@gmail.com ,N/A,Community & Family;Christian faith;,Multiple services,54.270,-8.496,N/A,
40,Dublin College FET Blanchardstown,"Dublin College FET Blanchardstown offers a range of courses from English language, literacy, numeracy and digital skills up to full awards QQI 4 and 5 vocational courses. ","education, English Classes, information, guidance, training, ",Main Street. Blanchardstown Village,D15T3KT,No,https://www.adulteducationblanchardstown.ie/,baes@ddletbaes.ie,018200952,Information & Advice;Education;Language Support;,Education,53.386,-6.396,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 8-4",
41,Dublin College FET Riversdale,"Dublin College FET Riversdale offers a range of part time vocational courses full awards at QQI 4 and 5 in Childcare, Business Adminsitration, Office Skills and Digital Skills along English classes for Dublin 15 adult community. ","English classes, childcare, healthcare, computers, IT, office, skills, ELC, ESOL, business administration, office administration, digital, horticulture, education, training","Blanchardstown Road North,  Dublin 15",D15YWE5,No,https://www.adulteducationblanchardstown.ie/,baes@ddletbaes.ie,018200295,Education;Language Support;,Education,53.402,-6.399,N/A,
42,Offaly County Childcare Committee Clg ,Offaly County Childcare Committee supports parents to find and access preschool and school aged places and parent & toddler groups. Offaly CCC can support parents to apply for NCS for their child. Offaly CCC delivers Stay & Play Sessions in towns throughout the county.  It supports childminders to register. ,"ECCE Places, School Age Places, NCS Scheme, Parent & Toddler Groups, Stay & Play Sessions","Floor 1, 8 O'Connor Square, Tullamore, Co. Offaly R35 Y7P0",R35 Y7P0,No,www.offalychildcare.com,aine@offalychildcare.com,057 9135878,Community & Family;Information & Advice;Support to find childcare places. ;,Information & Advice,53.274,-7.513,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 9.30am to 4.30pm",
43,ISPCC Childline Therapeutic Support Service,Our Childline Therapeutic Support Service (CTSS) in Co Cavan & Monaghan works with children and young people (up to 18 years of age) and their families. Our service is based on a resilience model and provides children & young people with 1:1 therapeutic support during difficult or traumatic times in their lives. We work on the ethos of voluntary participation where each individual is respected and valued.,"Therapeutic Support, parenting, resilience, wellbeing, coping strategies, self esteem, confidence","ISPCC YWCA Building, North rd, Monaghan",H18 KF98,No,www.ispcc.ie,monaghan@ispcc.ie,086 8353745,Wellbeing & Mental Health;Community & Family;Youth Services;Public Awareness & Activism;,Wellbeing & Mental Health,54.249,-6.992,N/A,
44,"EPIC, Empowering People in Care","EPIC works with children and young people in the care of the state, including unaccompanied minors. ","Advice and support, care placement, aftercare, information about my rights, Tusla, being in care.","EPIC Dublin, 7 Red Cow Lane, Smithfield, Dublin 7 Co. Dublin D07 KX52",D07 KX52,No,www.epiconline.ie,info@epiconline.ie,01 872 7661 ,Information & Advice;Youth Services;Public Awareness & Activism;,Information & Advice,53.350,-6.298,N/A,
45,Atlas Womens Centre,"Adult Training Learning And Support - offering a wide variety of programmes to improve confidence, skills, health and wellbeing.  Classes include Beginners ESOL.","Women's English classes, accredited classes, mental health classes and creche available for children 0 - 4 yrs while parent is attending classes",Atlas Centre 7 Bachelors Walk Lisburn ,BT28 1XJ,No,www.atlaswomenscentre.co.uk,info@atlaswomenscentre.co.uk,07514670609,Education;Language Support;Wellbeing & Mental Health;Community & Family;,Community & Family,54.514,-6.047,"Available: Tuesday;Wednesday;, 10.00 - 12.00",
46,Galway County Council Integration Team,"Integration Supports for IPA's, BOTP's, and persons with status","Integration supports: finding work, help with forms, link to community services, English classes.","Galway County Council, Prospect Hill, Galway", H91 H6KX,No,galway.ie,integration@galwaycoco.ie,N/A,Community & Family;Integration Supports;,Multiple services,53.276,-9.069,N/A,
47,Sailing Into Wellness,"Sailing Into Wellness work with community-based organisations to deliver Therapeutic Sailing Programmes, across Ireland. Using the unique setting of the sea, an adventure therapy model is integrated with a mix of experiential, person-centred and strengths-based approaches to support and empower individuals to use their own life experiences as a platform for growth.","Sail Therapy, Health & Wellbeing support, lifeskills, development of coping mechanisms, sailing certification (pathway to employment within the maritime sector)","Kinsale, Co Cork",None,No,https://www.sailingintowellness.ie,hello@sailingintowellness.ie,0834429629,Wellbeing & Mental Health;Education;,Wellbeing & Mental Health,51.706,-8.547,N/A,
48,ISPCC,We provide 1:1 support to children and young people living in IPAS in County Clare,One to one therapeutic work with children 0 to 18 and their families,The service is mobile and meets children young people and families in their IPAS Centre,None,No,www.ispcc.ie,limerick@ispcc.ie,01 2342000,Youth Services;Community & Family;,Wellbeing & Mental Health,53.633,-8.240,N/A,
50,SAOL Project CLG,"SAOl is a service for women who have difficulties with alcohol or drugs or any other addiction.  We offer day programmes, support for women with domestic violence where addiction is present too; and a service for women with difficulties related to the criminal justice system.  We are feminist, trauma-informed and are only for women.","Addiction, alcohol use, drug use, groupwork, key-working, domestic violence support, women-only support","58 Amiens Street, dublin 1",D01K253,No,www.saolproject.ie,admin@saolproject.ie,01 8553391,"Health Services;Information & Advice;Education;Wellbeing & Mental Health;Community & Family;Emergency & Homelessness Support (e.g. food, shelter, day services);",Multiple services,53.354,-6.269,"Available: Tuesday;Wednesday;Thursday;, 10am to 1pm",
51,Newbridge Family Resource Centre ," “Newbridge Family Resource Centre empowers and promotes the growth, development and independence of individuals, families and all communities within the Newbridge region by providing access to resources, confidential services, and supports”","English classes, Social support, Information sharing, Community engagement","Dara Park, Newbridge, Co. Kildare ",W12PX65 ,No,https://www.newbridgefrc.ie/ ,glens@newbridgefrc.ie ,087 988 8655 ,Information & Advice;Language Support;Housing support;Wellbeing & Mental Health;Community & Family;Youth Services;Public Awareness & Activism;Culture & the Arts;Environment;,Multiple services,53.180,-6.831,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;, 10am - 4pm ",
53,ACET Ireland,"ACET Ireland has been responding to issues of HIV, addiction and migrant health for over 30 years. Our projects do not run from a distinct building but in community settings such as kitchen tables, cafes, faith communities and anywhere else. ","Health supports, cultural-code translators, linking to faith-based communities. Support for people loving with HIV. Anti-racism training.","50 Lower Gardiner Street, Dublin 1",D01VC03,No,www.acet.ie,dublin@acet.ie,018787700,Health Services;Information & Advice;Wellbeing & Mental Health;Community & Family;Faith-based;Education;,Multiple services,53.350,-6.275,N/A,
54,LMETB Adult Educational Guidance Service (Meath),"LMETB’s Guidance, Information and Recruitment Services provide: Information on education and training opportunities, full-time, part-time, locally & nationally One to one educational guidance for early school leavers and/or social welfare recipients. Referral to a range of education and training options within LMETB and other education providers",Educational/Career Guidance/English Classes/Computer Classes/Part-Time Courses,"LMETB, Railway Street, Navan Co. Meath (Old Motor Tax Office) ",C15 X407,No,https://www.lmetb.ie/further-education-training/guidance-information-and-recruitment/,adultguidance@lmetb.ie,1800 991 898,Education;Employment & Training;,Employment & Training,53.649,-6.706,"Available: Tuesday;Thursday;, Different days times/also can be sessional so will need to send in a separate email as these days above are only for some centres. ",
55,National Parents Council,"National Parents Council (NPC) represents parents of children in early, primary and post-primary education. NPC aims to make sure that parents’ voices are heard and strongly believes that children should also have their say in issues that affect their educational lives.  NPC offers a confidential Helpline and a national Training Programme to support and empower parents in their involvement in their child’s education.","Helpline, Parents' Associations, Issues in schools, Information sessions for parents, Consultations, Advocacy, Supporting parents to support their children in school.",Dublin city,None,No,www.npc.ie,helpline@npc.ie,01 8874477,Information & Advice;Education;Wellbeing & Mental Health;Training & Support for parents. Helpline. Representing parents. ;,Multiple services,53.324,-6.411,N/A,
56,The Exchange Inishowen CLG,"We are a voluntary run community centre that has been supporting refugees and asylum seekers since 2019. We provide English classes, A volunteer programme and a range of supports, help and advice on immigration, etc. Our sister organisation Insight Inishowen provides counselling and trauma support.","English classes, finding work, volunteering in the community, help with forms, advice on immigration, advice on asylum appeals, scanning and photocoping, mental health supports, counselling, CV creation, practical training e.g. food hygiene, etc.","The Exchange, Castle Avenue, Buncrana, Co Donegal",F93 FE09,No,www.exchangeinishowen.ie,info@exchangeinishowen.ie,0877955401,Information & Advice;Employment & Training;Education;Language Support;Wellbeing & Mental Health;Community & Family;Legal Advice;Public Awareness & Activism;Culture & the Arts;,Multiple services,55.137,-7.480,"Available: Monday;Wednesday;Friday;, 11am to 1pm",
57,The Link Family and Community Centre,"We provide English classes for speakers of other languages. Beginner, intermediate and one to one options are available.  We also provide tuition in 'English for Driving' and The Life in the UK requirement.",English classes for speakers of other languages,"10 West Street, Newtownards. County Down. Northern Ireland",BT23 4EN,No,www.thelinkcentre.org,elizabeth@thelinkcentre.org,02891  821124,Language Support;Education;,Language Support,54.594,-5.703,"Available: Monday;Tuesday;, Mon 9am-12noon (term time)
Tues 9am-3.30pm (term time)",
58,Insight Inishowen,"We are a mental health charity offering a counselling service, suicide prevention training and trauma care including art therapy, mindfulness, wellbeing workshops and more.","Counselling, therapy, mindfulness, mental health support, trauma debriefing, listening ear, grief counselling.","The Exchange, Castle Avenue, Buncrana, Co Donegal",F93 FE09,No,www.insightinishowen.ie,insightinishowen@gmail.com,0872464777,Wellbeing & Mental Health;,Wellbeing & Mental Health,55.137,-7.480,N/A,
